2012-12-27 15:35:17.023  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 16:43:24.402  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 16:46:32.577  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 18:24:45.681  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 19:14:18.740  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 19:24:31.459  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 19:31:19.863  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 22:44:03.372  INFO HelloWorldImpl:137 - 内存文档数1
2012-12-27 23:18:38.571  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 23:18:38.591  INFO HelloWorldImpl:60 - start init!!
2012-12-27 23:18:51.955  INFO HelloWorldImpl:112 - test!
2012-12-27 23:18:51.959  INFO HelloWorldImpl:127 - create index :field:id  value:510
2012-12-27 23:18:51.963  INFO HelloWorldImpl:127 - create index :field:collegeId  value:12
2012-12-27 23:18:51.963  INFO HelloWorldImpl:127 - create index :field:sex  value:0
2012-12-27 23:18:51.964  INFO HelloWorldImpl:127 - create index :field:name  value:屠洪纲
2012-12-27 23:18:51.964  INFO HelloWorldImpl:127 - create index :field:year  value:2012
2012-12-27 23:18:51.989  INFO HelloWorldImpl:137 - 内存文档数1
2012-12-27 23:18:52.023  INFO HelloWorldImpl:156 - queryString:屠
2012-12-27 23:25:51.750  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 23:25:51.771  INFO HelloWorldImpl:61 - start init!!
2012-12-27 23:26:01.576  INFO HelloWorldImpl:113 - test!
2012-12-27 23:26:01.580  INFO HelloWorldImpl:128 - create index :field:id  value:510
2012-12-27 23:26:01.584  INFO HelloWorldImpl:128 - create index :field:collegeId  value:12
2012-12-27 23:26:01.584  INFO HelloWorldImpl:128 - create index :field:sex  value:0
2012-12-27 23:26:01.585  INFO HelloWorldImpl:128 - create index :field:name  value:屠洪纲
2012-12-27 23:26:01.585  INFO HelloWorldImpl:128 - create index :field:year  value:2012
2012-12-27 23:26:01.611  INFO HelloWorldImpl:138 - 内存文档数1
2012-12-27 23:26:01.644  INFO HelloWorldImpl:157 - queryString:屠
2012-12-28 10:59:36.843  INFO HelloWorldImpl:113 - test!
2012-12-28 10:59:36.843  INFO HelloWorldImpl:128 - create index :field:id  value:510
2012-12-28 10:59:36.843  INFO HelloWorldImpl:128 - create index :field:collegeId  value:12
2012-12-28 10:59:36.845  INFO HelloWorldImpl:128 - create index :field:sex  value:0
2012-12-28 10:59:36.846  INFO HelloWorldImpl:128 - create index :field:name  value:屠洪纲
2012-12-28 10:59:36.846  INFO HelloWorldImpl:128 - create index :field:year  value:2012
2012-12-28 10:59:36.848  INFO HelloWorldImpl:138 - 内存文档数2
2012-12-28 10:59:36.945  INFO HelloWorldImpl:157 - queryString:屠
2012-12-28 11:01:49.559  INFO HelloWorldImpl:113 - test!
2012-12-28 11:01:49.560  INFO HelloWorldImpl:128 - create index :field:id  value:510
2012-12-28 11:01:49.560  INFO HelloWorldImpl:128 - create index :field:collegeId  value:12
2012-12-28 11:01:49.560  INFO HelloWorldImpl:128 - create index :field:sex  value:0
2012-12-28 11:01:49.560  INFO HelloWorldImpl:128 - create index :field:name  value:屠洪纲
2012-12-28 11:01:49.560  INFO HelloWorldImpl:128 - create index :field:year  value:2012
2012-12-28 11:01:49.562  INFO HelloWorldImpl:138 - 内存文档数3
2012-12-28 11:01:49.582  INFO HelloWorldImpl:157 - queryString:屠纲
2012-12-28 11:01:49.583  INFO HelloWorldImpl:161 - is PhraseQusery
2012-12-28 11:02:06.319  INFO HelloWorldImpl:113 - test!
2012-12-28 11:02:06.320  INFO HelloWorldImpl:128 - create index :field:id  value:510
2012-12-28 11:02:06.320  INFO HelloWorldImpl:128 - create index :field:collegeId  value:12
2012-12-28 11:02:06.320  INFO HelloWorldImpl:128 - create index :field:sex  value:0
2012-12-28 11:02:06.320  INFO HelloWorldImpl:128 - create index :field:name  value:杨坤
2012-12-28 11:02:06.320  INFO HelloWorldImpl:128 - create index :field:year  value:2012
2012-12-28 11:02:06.321  INFO HelloWorldImpl:138 - 内存文档数4
2012-12-28 11:02:06.342  INFO HelloWorldImpl:157 - queryString:屠
2012-12-28 11:02:12.976  INFO HelloWorldImpl:113 - test!
2012-12-28 11:02:12.976  INFO HelloWorldImpl:128 - create index :field:id  value:510
2012-12-28 11:02:12.976  INFO HelloWorldImpl:128 - create index :field:collegeId  value:12
